Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Country,ISO,Region,Continent,Dis Mag Scale,Start Year,Start Month,End Year,End Month,CPI
1923-0017-AIA,1923,17,Natural,Biological,Epidemic,Anguilla,AIA,Caribbean,Americas,Vaccinated,1923,1.0,1923,1.0,5.8349248693479
1924-0005-ECU,1924,5,Natural,Geophysical,Earthquake,Ecuador,ECU,South America,Americas,Richter,1924,3.0,1924,3.0,5.8691138822542
1926-0009-BHS,1926,9,Natural,Meteorological,Storm,Bahamas (the),BHS,Caribbean,Americas,Kph,1926,7.0,1926,7.0,6.0628516220567
1926-0013-COL,1926,13,Natural,Hydrological,Landslide,Colombia,COL,South America,Americas,,1926,11.0,1926,11.0,6.0628516220567
1926-0012-CUB,1926,12,Natural,Meteorological,Storm,Cuba,CUB,Caribbean,Americas,Kph,1926,10.0,1926,10.0,6.0628516220567
1928-0024-CAN,1928,24,Natural,Geophysical,Earthquake,Canada,CAN,Northern America,Americas,Richter,1928,11.0,1928,11.0,5.8805102198896
1928-0003-CHL,1928,3,Natural,Geophysical,Earthquake,Chile,CHL,South America,Americas,Richter,1928,,1928,,5.8805102198896
1928-0015-GLP,1928,15,Natural,Meteorological,Storm,Guadeloupe,GLP,Caribbean,Americas,Kph,1928,9.0,1928,9.0,5.8805102198896
1929-0003-BHS,1929,3,Natural,Meteorological,Storm,Bahamas (the),BHS,Caribbean,Americas,Kph,1929,9.0,1929,9.0,5.8805102198896
1930-0024-DMA,1930,24,Natural,Meteorological,Storm,Dominica,DMA,Caribbean,Americas,Kph,1930,9.0,1930,9.0,5.7209614929934
1930-0009-DOM,1930,9,Natural,Meteorological,Storm,Dominican Republic (the),DOM,Caribbean,Americas,Kph,1930,9.0,1930,9.0,5.7209614929934
1931-9014-CAN,1931,9014,Natural,Climatological,Drought,Canada,CAN,Northern America,Americas,Km2,1931,1.0,1940,,5.2081262993983
1931-0009-BLZ,1931,9,Natural,Meteorological,Storm,Belize,BLZ,Central America,Americas,Kph,1931,9.0,1931,9.0,5.2081262993983
1931-0005-ECU,1931,5,Natural,Hydrological,Landslide,Ecuador,ECU,South America,Americas,,1931,2.0,1931,2.0,5.2081262993983
1931-0010-HND,1931,10,Natural,Meteorological,Storm,Honduras,HND,Central America,Americas,Kph,1931,9.0,1931,9.0,5.2081262993983
1932-0006-CUB,1932,6,Natural,Meteorological,Storm,Cuba,CUB,Caribbean,Americas,Kph,1932,11.0,1932,11.0,4.6724984305324
1935-0009-BHS,1935,9,Natural,Meteorological,Storm,Bahamas (the),BHS,Caribbean,Americas,Kph,1935,9.0,1935,9.0,4.6952911058033
1935-0008-CUB,1935,8,Natural,Meteorological,Storm,Cuba,CUB,Caribbean,Americas,Kph,1935,9.0,1935,9.0,4.6952911058033
1935-0012-HTI,1935,12,Natural,Meteorological,Storm,Haiti,HTI,Caribbean,Americas,Kph,1935,10.0,1935,10.0,4.6952911058033
1936-0006-CAN,1936,6,Natural,Meteorological,Extreme temperature,Canada,CAN,Northern America,Americas,Â°C,1936,7.0,1936,7.0,4.7522727939805
1939-0001-CHL,1939,1,Natural,Geophysical,Earthquake,Chile,CHL,South America,Americas,Richter,1939,1.0,1939,1.0,4.763669131616
1942-0001-ECU,1942,1,Natural,Geophysical,Earthquake,Ecuador,ECU,South America,Americas,Richter,1942,5.0,1942,5.0,5.5956017790036
1943-0010-CHL,1943,10,Natural,Geophysical,Earthquake,Chile,CHL,South America,Americas,Richter,1943,4.0,1943,4.0,5.9260955704314
1944-0011-CUB,1944,11,Natural,Meteorological,Storm,Cuba,CUB,Caribbean,Americas,Kph,1944,10.0,1944,10.0,6.0286626091504
1944-0002-ARG,1944,2,Natural,Geophysical,Earthquake,Argentina,ARG,South America,Americas,Richter,1944,1.0,1944,1.0,6.0286626091504
1945-0004-BHS,1945,4,Natural,Meteorological,Storm,Bahamas (the),BHS,Caribbean,Americas,Kph,1945,9.0,1945,9.0,6.1654186607757
1946-0013-CHL,1946,13,Natural,Geophysical,Earthquake,Chile,CHL,South America,Americas,Richter,1946,8.0,1946,8.0,6.6782538543708
1946-0021-DOM,1946,21,Natural,Geophysical,Earthquake,Dominican Republic (the),DOM,Caribbean,Americas,Richter,1946,8.0,1946,8.0,6.6782538543708
1946-0018-CAN,1946,18,Natural,Meteorological,Storm,Canada,CAN,Northern America,Americas,Kph,1946,6.0,1946,6.0,6.6782538543708
1948-0013-BMU,1948,13,Natural,Meteorological,Storm,Bermuda,BMU,Northern America,Americas,Kph,1948,10.0,1948,10.0,8.2281557727913
1948-0027-BRA,1948,27,Natural,Hydrological,Flood,Brazil,BRA,South America,Americas,Km2,1948,12.0,1948,12.0,8.2281557727913
1948-0025-CHL,1948,25,Natural,Geophysical,Volcanic activity,Chile,CHL,South America,Americas,,1948,10.0,1948,10.0,8.2281557727913
1948-0009-CUB,1948,9,Natural,Meteorological,Storm,Cuba,CUB,Caribbean,Americas,Kph,1948,9.0,1948,9.0,8.2281557727913
1948-0012-CUB,1948,12,Natural,Meteorological,Storm,Cuba,CUB,Caribbean,Americas,Kph,1948,10.0,1948,10.0,8.2281557727913
1949-0010-ECU,1949,10,Natural,Geophysical,Earthquake,Ecuador,ECU,South America,Americas,Richter,1949,8.0,1949,8.0,8.1483814093431
1949-0005-CHL,1949,5,Natural,Geophysical,Earthquake,Chile,CHL,South America,Americas,Richter,1949,4.0,1949,4.0,8.1483814093431
1949-0015-CHL,1949,15,Natural,Geophysical,Earthquake,Chile,CHL,South America,Americas,Richter,1949,12.0,1949,12.0,8.1483814093431
1949-0024-BRA,1949,24,Natural,Meteorological,Storm,Brazil,BRA,South America,Americas,Kph,1949,5.0,1949,5.0,8.1483814093431
1949-0002-COL,1949,2,Natural,Geophysical,Volcanic activity,Colombia,COL,South America,Americas,,1949,,1949,,8.1483814093431
1949-0012-GTM,1949,12,Natural,Hydrological,Flood,Guatemala,GTM,Central America,Americas,Km2,1949,10.0,1949,10.0,8.1483814093431
1950-0009-ATG,1950,9,Natural,Meteorological,Storm,Antigua and Barbuda,ATG,Caribbean,Americas,Kph,1950,9.0,1950,9.0,8.2395521104268
1950-0012-CAN,1950,12,Natural,Meteorological,Storm,Canada,CAN,Northern America,Americas,Kph,1950,11.0,1950,11.0,8.2395521104268
1950-0017-CAN,1950,17,Natural,Hydrological,Flood,Canada,CAN,Northern America,Americas,Km2,1950,5.0,1950,5.0,8.2395521104268
1950-0028-COL,1950,28,Natural,Geophysical,Earthquake,Colombia,COL,South America,Americas,Richter,1950,7.0,1950,7.0,8.2395521104268
1950-0023-ECU,1950,23,Natural,Hydrological,Flood,Ecuador,ECU,South America,Americas,Km2,1950,4.0,1950,4.0,8.2395521104268
1952-0010-HTI,1952,10,Natural,Geophysical,Earthquake,Haiti,HTI,Caribbean,Americas,Richter,1952,10.0,1952,10.0,9.0942774330851
1953-0012-CHL,1953,12,Natural,Geophysical,Earthquake,Chile,CHL,South America,Americas,Richter,1953,5.0,1953,5.0,9.1626554588977
1953-0030-CAN,1953,30,Natural,Biological,Epidemic,Canada,CAN,Northern America,Americas,Vaccinated,1953,1.0,1953,1.0,9.1626554588977
1953-0021-CHL,1953,21,Natural,Geophysical,Earthquake,Chile,CHL,South America,Americas,Richter,1953,12.0,1953,12.0,9.1626554588977
1953-0039-ECU,1953,39,Natural,Hydrological,Flood,Ecuador,ECU,South America,Americas,Km2,1953,3.0,1953,3.0,9.1626554588977
1954-0027-ANT,1954,27,Natural,Meteorological,Storm,Netherlands Antilles,ANT,Caribbean,Americas,Kph,1954,12.0,1954,12.0,9.196844471804
1954-0032-CAN,1954,32,Natural,Meteorological,Storm,Canada,CAN,Northern America,Americas,Kph,1954,10.0,1954,10.0,9.196844471804
1954-0012-COL,1954,12,Natural,Hydrological,Landslide,Colombia,COL,South America,Americas,,1954,7.0,1954,7.0,9.196844471804
1954-0064-COL,1954,64,Natural,Hydrological,Landslide,Colombia,COL,South America,Americas,,1954,12.0,1954,12.0,9.196844471804
1954-0024-HTI,1954,24,Natural,Hydrological,Landslide,Haiti,HTI,Caribbean,Americas,,1954,10.0,1954,10.0,9.196844471804
1954-0022-HTI,1954,22,Natural,Meteorological,Storm,Haiti,HTI,Caribbean,Americas,Kph,1954,10.0,1954,10.0,9.196844471804
1955-0025-AIA,1955,25,Natural,Meteorological,Storm,Anguilla,AIA,Caribbean,Americas,Kph,1955,1.0,1955,1.0,9.1490044073985
1955-0014-BLZ,1955,14,Natural,Meteorological,Storm,Belize,BLZ,Central America,Americas,Kph,1955,9.0,1955,9.0,9.1490044073985
1955-0011-BRB,1955,11,Natural,Meteorological,Storm,Barbados,BRB,Caribbean,Americas,Kph,1955,9.0,1955,9.0,9.1490044073985
1955-0031-CAN,1955,31,Natural,Geophysical,Mass movement (dry),Canada,CAN,Northern America,Americas,,1955,11.0,1955,11.0,9.1490044073985
1956-0030-BRA,1956,30,Natural,Hydrological,Landslide,Brazil,BRA,South America,Americas,,1956,3.0,1956,3.0,9.2885315312835
1956-0033-BRA,1956,33,Natural,Hydrological,Landslide,Brazil,BRA,South America,Americas,,1956,3.0,1956,3.0,9.2885315312835
1956-0015-GLP,1956,15,Natural,Meteorological,Storm,Guadeloupe,GLP,Caribbean,Americas,Kph,1956,8.0,1956,8.0,9.2885315312835
1957-0042-BRA,1957,42,Natural,Hydrological,Flood,Brazil,BRA,South America,Americas,Km2,1957,12.0,1957,12.0,9.5989040625491
1958-0036-ARG,1958,36,Natural,Hydrological,Flood,Argentina,ARG,South America,Americas,Km2,1958,7.0,1958,7.0,9.86087781901
1958-0010-CHL,1958,10,Natural,Geophysical,Earthquake,Chile,CHL,South America,Americas,Richter,1958,9.0,1958,9.0,9.86087781901
1959-0042-BRA,1959,42,Natural,Meteorological,Storm,Brazil,BRA,South America,Americas,Kph,1959,8.0,1959,8.0,9.9605423643158
1959-0047-BRA,1959,47,Natural,Hydrological,Flood,Brazil,BRA,South America,Americas,Km2,1959,9.0,1959,9.0,9.9605423643158
1959-0023-CAN,1959,23,Natural,Meteorological,Storm,Canada,CAN,Northern America,Americas,Kph,1959,2.0,1959,2.0,9.9605423643158
1959-0035-COL,1959,35,Natural,Hydrological,Flood,Colombia,COL,South America,Americas,Km2,1959,6.0,1959,6.0,9.9605423643158
1959-0031-HTI,1959,31,Natural,Hydrological,Flood,Haiti,HTI,Caribbean,Americas,Km2,1959,4.0,1959,4.0,9.9605423643158
1960-0013-CHL,1960,13,Natural,Geophysical,Earthquake,Chile,CHL,South America,Americas,Richter,1960,5.0,1960,5.0,10.1057629853038
1960-0026-AIA,1960,26,Natural,Meteorological,Storm,Anguilla,AIA,Caribbean,Americas,Kph,1960,9.0,1960,9.0,10.1057629853038
1960-0025-ANT,1960,25,Natural,Meteorological,Storm,Netherlands Antilles,ANT,Caribbean,Americas,Kph,1960,9.0,1960,9.0,10.1057629853038
1960-0024-ATG,1960,24,Natural,Meteorological,Storm,Antigua and Barbuda,ATG,Caribbean,Americas,Kph,1960,9.0,1960,9.0,10.1057629853038
1961-0013-BLZ,1961,13,Natural,Meteorological,Storm,Belize,BLZ,Central America,Americas,Kph,1961,10.0,1961,10.0,10.2139637268352
1961-9040-CAN,1961,9040,Natural,Climatological,Drought,Canada,CAN,Northern America,Americas,Km2,1961,1.0,1961,,10.2139637268352
1961-0052-HND,1961,52,Natural,Meteorological,Storm,Honduras,HND,Central America,Americas,Kph,1961,10.0,1961,10.0,10.2139637268352
1962-0043-CAN,1962,43,Natural,Meteorological,Storm,Canada,CAN,Northern America,Americas,Kph,1962,10.0,1962,10.0,10.3364103594111
1962-0030-COL,1962,30,Natural,Geophysical,Earthquake,Colombia,COL,South America,Americas,Richter,1962,7.0,1962,7.0,10.3364103594111
1962-0033-COL,1962,33,Natural,Hydrological,Flood,Colombia,COL,South America,Americas,Km2,1962,8.0,1962,8.0,10.3364103594111
1962-0039-HTI,1962,39,Natural,Hydrological,Flood,Haiti,HTI,Caribbean,Americas,Km2,1962,11.0,1962,11.0,10.3364103594111
1963-0031-BHS,1963,31,Natural,Meteorological,Storm,Bahamas (the),BHS,Caribbean,Americas,Kph,1963,10.0,1963,10.0,10.4645423902321
1963-0011-CRI,1963,11,Natural,Geophysical,Volcanic activity,Costa Rica,CRI,Central America,Americas,,1963,3.0,1963,3.0,10.4645423902321
1963-0030-CUB,1963,30,Natural,Meteorological,Storm,Cuba,CUB,Caribbean,Americas,Kph,1963,10.0,1963,10.0,10.4645423902321
1963-0020-DMA,1963,20,Natural,Meteorological,Storm,Dominica,DMA,Caribbean,Americas,Kph,1963,9.0,1963,9.0,10.4645423902321
1963-0027-DOM,1963,27,Natural,Meteorological,Storm,Dominican Republic (the),DOM,Caribbean,Americas,Kph,1963,10.0,1963,10.0,10.4645423902321
1963-0024-GRD,1963,24,Natural,Meteorological,Storm,Grenada,GRD,Caribbean,Americas,Kph,1963,9.0,1963,9.0,10.4645423902321
1963-0028-HTI,1963,28,Natural,Meteorological,Storm,Haiti,HTI,Caribbean,Americas,Kph,1963,10.0,1963,10.0,10.4645423902321
1963-0038-HTI,1963,38,Natural,Biological,Epidemic,Haiti,HTI,Caribbean,Americas,Vaccinated,1963,12.0,1963,12.0,10.4645423902321
1963-0034-HTI,1963,34,Natural,Hydrological,Flood,Haiti,HTI,Caribbean,Americas,Km2,1963,11.0,1963,11.0,10.4645423902321
1964-0005-BRA,1964,5,Natural,Hydrological,Flood,Brazil,BRA,South America,Americas,Km2,1964,1.0,1964,1.0,10.5983760170141
1964-0022-BRA,1964,22,Natural,Hydrological,Flood,Brazil,BRA,South America,Americas,Km2,1964,4.0,1964,4.0,10.5983760170141
1964-0041-BRA,1964,41,Natural,Hydrological,Flood,Brazil,BRA,South America,Americas,Km2,1964,7.0,1964,7.0,10.5983760170141
1964-0017-CHL,1964,17,Natural,Geophysical,Volcanic activity,Chile,CHL,South America,Americas,,1964,3.0,1964,3.0,10.5983760170141
1964-0096-CUB,1964,96,Natural,Meteorological,Storm,Cuba,CUB,Caribbean,Americas,Kph,1964,8.0,1964,8.0,10.5983760170141
1964-0048-DOM,1964,48,Natural,Meteorological,Storm,Dominican Republic (the),DOM,Caribbean,Americas,Kph,1964,8.0,1964,8.0,10.5983760170141
1964-9006-ECU,1964,9006,Natural,Climatological,Drought,Ecuador,ECU,South America,Americas,Km2,1964,3.0,1964,,10.5983760170141
1964-0046-GLP,1964,46,Natural,Meteorological,Storm,Guadeloupe,GLP,Caribbean,Americas,Kph,1964,8.0,1964,8.0,10.5983760170141
1964-0047-HTI,1964,47,Natural,Meteorological,Storm,Haiti,HTI,Caribbean,Americas,Kph,1964,8.0,1964,8.0,10.5983760170141
1965-0048-ARG,1965,48,Natural,Hydrological,Landslide,Argentina,ARG,South America,Americas,,1965,8.0,1965,8.0,10.7663787252722
1965-0054-BHS,1965,54,Natural,Meteorological,Storm,Bahamas (the),BHS,Caribbean,Americas,Kph,1965,9.0,1965,9.0,10.7663787252722
1965-0071-BOL,1965,71,Natural,Hydrological,Flood,Bolivia (Plurinational State of),BOL,South America,Americas,Km2,1965,12.0,1965,12.0,10.7663787252722
1965-0030-BRA,1965,30,Natural,Hydrological,Flood,Brazil,BRA,South America,Americas,Km2,1965,6.0,1965,6.0,10.7663787252722
1965-0047-BRA,1965,47,Natural,Hydrological,Flood,Brazil,BRA,South America,Americas,Km2,1965,8.0,1965,8.0,10.7663787252722
1965-0088-CAN,1965,88,Natural,Hydrological,Landslide,Canada,CAN,Northern America,Americas,,1965,2.0,1965,2.0,10.7663787252722
1965-0016-CHL,1965,16,Natural,Geophysical,Earthquake,Chile,CHL,South America,Americas,Richter,1965,3.0,1965,3.0,10.7663787252722
1965-0095-CHL,1965,95,Natural,Hydrological,Landslide,Chile,CHL,South America,Americas,,1965,2.0,1965,2.0,10.7663787252722
1965-0040-CHL,1965,40,Natural,Hydrological,Flood,Chile,CHL,South America,Americas,Km2,1965,7.0,1965,7.0,10.7663787252722
1965-0099-CHL,1965,99,Natural,Meteorological,Storm,Chile,CHL,South America,Americas,Kph,1965,8.0,1965,8.0,10.7663787252722
1965-0065-COL,1965,65,Natural,Hydrological,Landslide,Colombia,COL,South America,Americas,,1965,11.0,1965,11.0,10.7663787252722
1965-0022-DOM,1965,22,Natural,Climatological,Wildfire,Dominican Republic (the),DOM,Caribbean,Americas,Km2,1965,4.0,1965,4.0,10.7663787252722
1965-0018-ECU,1965,18,Natural,Hydrological,Flood,Ecuador,ECU,South America,Americas,Km2,1965,4.0,1965,4.0,10.7663787252722
1965-0045-HND,1965,45,Natural,Biological,Epidemic,Honduras,HND,Central America,Americas,Vaccinated,1965,8.0,1965,8.0,10.7663787252722
1965-9032-HND,1965,9032,Natural,Climatological,Drought,Honduras,HND,Central America,Americas,Km2,1965,6.0,1965,,10.7663787252722
1965-0057-HND,1965,57,Natural,Hydrological,Flood,Honduras,HND,Central America,Americas,Km2,1965,9.0,1965,9.0,10.7663787252722
1966-0031-ARG,1966,31,Natural,Hydrological,Flood,Argentina,ARG,South America,Americas,Km2,1966,2.0,1966,2.0,11.0909971475822
1966-0072-ATG,1966,72,Natural,Meteorological,Storm,Antigua and Barbuda,ATG,Caribbean,Americas,Kph,1966,9.0,1966,9.0,11.0909971475822
1966-0078-BHS,1966,78,Natural,Meteorological,Storm,Bahamas (the),BHS,Caribbean,Americas,Kph,1966,10.0,1966,10.0,11.0909971475822
1966-0132-BHS,1966,132,Natural,Meteorological,Storm,Bahamas (the),BHS,Caribbean,Americas,Kph,1966,9.0,1966,9.0,11.0909971475822
1966-0025-BOL,1966,25,Natural,Hydrological,Flood,Bolivia (Plurinational State of),BOL,South America,Americas,Km2,1966,2.0,1966,2.0,11.0909971475822
1966-0053-BOL,1966,53,Natural,Hydrological,Flood,Bolivia (Plurinational State of),BOL,South America,Americas,Km2,1966,6.0,1966,6.0,11.0909971475822
1966-0019-BRA,1966,19,Natural,Hydrological,Landslide,Brazil,BRA,South America,Americas,,1966,1.0,1966,1.0,11.0909971475822
1966-0017-BRA,1966,17,Natural,Hydrological,Flood,Brazil,BRA,South America,Americas,Km2,1966,1.0,1966,1.0,11.0909971475822
1966-0044-BRA,1966,44,Natural,Hydrological,Flood,Brazil,BRA,South America,Americas,Km2,1966,5.0,1966,5.0,11.0909971475822
1966-0116-BRA,1966,116,Natural,Meteorological,Storm,Brazil,BRA,South America,Americas,Kph,1966,1.0,1966,1.0,11.0909971475822
1966-0120-BRA,1966,120,Natural,Hydrological,Flood,Brazil,BRA,South America,Americas,Km2,1966,3.0,1966,3.0,11.0909971475822
1966-0110-CAN,1966,110,Natural,Meteorological,Storm,Canada,CAN,Northern America,Americas,Kph,1966,3.0,1966,3.0,11.0909971475822
1966-0090-CHL,1966,90,Natural,Geophysical,Earthquake,Chile,CHL,South America,Americas,Richter,1966,12.0,1966,12.0,11.0909971475822
1966-0076-CUB,1966,76,Natural,Meteorological,Storm,Cuba,CUB,Caribbean,Americas,Kph,1966,9.0,1966,9.0,11.0909971475822
1966-0074-DOM,1966,74,Natural,Meteorological,Storm,Dominican Republic (the),DOM,Caribbean,Americas,Kph,1966,9.0,1966,9.0,11.0909971475822
1966-0043-ECU,1966,43,Natural,Hydrological,Landslide,Ecuador,ECU,South America,Americas,,1966,5.0,1966,5.0,11.0909971475822
1966-0073-GLP,1966,73,Natural,Meteorological,Storm,Guadeloupe,GLP,Caribbean,Americas,Kph,1966,9.0,1966,9.0,11.0909971475822
1966-0075-HTI,1966,75,Natural,Meteorological,Storm,Haiti,HTI,Caribbean,Americas,Kph,1966,9.0,1966,9.0,11.0909971475822
1967-0064-ARG,1967,64,Natural,Hydrological,Flood,Argentina,ARG,South America,Americas,Km2,1967,10.0,1967,10.0,11.3985269797253
1967-0028-BRA,1967,28,Natural,Hydrological,Landslide,Brazil,BRA,South America,Americas,,1967,3.0,1967,3.0,11.3985269797253
1967-0015-BRA,1967,15,Natural,Hydrological,Flood,Brazil,BRA,South America,Americas,Km2,1967,1.0,1967,1.0,11.3985269797253
1967-0029-BRA,1967,29,Natural,Hydrological,Flood,Brazil,BRA,South America,Americas,Km2,1967,3.0,1967,3.0,11.3985269797253
1967-0060-BRA,1967,60,Natural,Hydrological,Flood,Brazil,BRA,South America,Americas,Km2,1967,9.0,1967,9.0,11.3985269797253
1967-0081-BRA,1967,81,Natural,Hydrological,Flood,Brazil,BRA,South America,Americas,Km2,1967,12.0,1967,12.0,11.3985269797253
1967-0020-COL,1967,20,Natural,Geophysical,Earthquake,Colombia,COL,South America,Americas,Richter,1967,2.0,1967,2.0,11.3985269797253
1967-0053-ECU,1967,53,Natural,Biological,Epidemic,Ecuador,ECU,South America,Americas,Vaccinated,1967,8.0,1967,8.0,11.3985269797253
1967-0019-ECU,1967,19,Natural,Hydrological,Flood,Ecuador,ECU,South America,Americas,Km2,1967,2.0,1967,2.0,11.3985269797253
1968-0031-BOL,1968,31,Natural,Hydrological,Flood,Bolivia (Plurinational State of),BOL,South America,Americas,Km2,1968,2.0,1968,2.0,11.8854465143325
1968-0131-BRA,1968,131,Natural,Meteorological,Extreme temperature,Brazil,BRA,South America,Americas,Â°C,1968,12.0,1968,12.0,11.8854465143325
1968-9008-CHL,1968,9008,Natural,Climatological,Drought,Chile,CHL,South America,Americas,Km2,1968,8.0,1972,,11.8854465143325
1968-0057-CHL,1968,57,Natural,Meteorological,Storm,Chile,CHL,South America,Americas,Kph,1968,7.0,1968,7.0,11.8854465143325
1968-0028-COL,1968,28,Natural,Meteorological,Storm,Colombia,COL,South America,Americas,Kph,1968,1.0,1968,1.0,11.8854465143325
1968-0059-CRI,1968,59,Natural,Geophysical,Volcanic activity,Costa Rica,CRI,Central America,Americas,,1968,7.0,1968,7.0,11.8854465143325
1968-0076-CUB,1968,76,Natural,Meteorological,Storm,Cuba,CUB,Caribbean,Americas,Kph,1968,10.0,1968,10.0,11.8854465143325
1968-9009-DOM,1968,9009,Natural,Climatological,Drought,Dominican Republic (the),DOM,Caribbean,Americas,Km2,1968,8.0,1968,,11.8854465143325
1968-9006-HTI,1968,9006,Natural,Climatological,Drought,Haiti,HTI,Caribbean,Americas,Km2,1968,1.0,1968,,11.8854465143325
1969-0048-BOL,1969,48,Natural,Biological,Epidemic,Bolivia (Plurinational State of),BOL,South America,Americas,Vaccinated,1969,2.0,1969,2.0,12.5346752600948
1969-0108-BOL,1969,108,Natural,Biological,Epidemic,Bolivia (Plurinational State of),BOL,South America,Americas,Vaccinated,1969,11.0,1969,11.0,12.5346752600948
1969-0057-BRA,1969,57,Natural,Hydrological,Flood,Brazil,BRA,South America,Americas,Km2,1969,3.0,1969,3.0,12.5346752600948
1969-0110-COL,1969,110,Natural,Hydrological,Flood,Colombia,COL,South America,Americas,Km2,1969,12.0,1969,12.0,12.5346752600948
1969-0103-CRI,1969,103,Natural,Hydrological,Flood,Costa Rica,CRI,Central America,Americas,Km2,1969,10.0,1969,10.0,12.5346752600948
1969-0068-ECU,1969,68,Natural,Biological,Epidemic,Ecuador,ECU,South America,Americas,Vaccinated,1969,5.0,1969,5.0,12.5346752600948
1969-0091-GTM,1969,91,Natural,Meteorological,Storm,Guatemala,GTM,Central America,Americas,Kph,1969,9.0,1969,9.0,12.5346752600948
1969-0072-GTM,1969,72,Natural,Biological,Epidemic,Guatemala,GTM,Central America,Americas,Vaccinated,1969,6.0,1969,6.0,12.5346752600948
1969-0089-HND,1969,89,Natural,Meteorological,Storm,Honduras,HND,Central America,Americas,Kph,1969,9.0,1969,9.0,12.5346752600948
1969-0092-HND,1969,92,Natural,Biological,Epidemic,Honduras,HND,Central America,Americas,Vaccinated,1969,9.0,1969,9.0,12.5346752600948
1970-0013-ARG,1970,13,Natural,Hydrological,Flood,Argentina,ARG,South America,Americas,Km2,1970,1.0,1970,1.0,13.2664799609959
1970-9005-BRA,1970,9005,Natural,Climatological,Drought,Brazil,BRA,South America,Americas,Km2,1970,8.0,1970,,13.2664799609959
1970-0037-BRA,1970,37,Natural,Hydrological,Flood,Brazil,BRA,South America,Americas,Km2,1970,7.0,1970,7.0,13.2664799609959
1970-0054-BRB,1970,54,Natural,Hydrological,Flood,Barbados,BRB,Caribbean,Americas,Km2,1970,10.0,1970,10.0,13.2664799609959
1970-0042-CAN,1970,42,Natural,Meteorological,Storm,Canada,CAN,Northern America,Americas,Kph,1970,8.0,1970,8.0,13.2664799609959
1970-0051-COL,1970,51,Natural,Geophysical,Earthquake,Colombia,COL,South America,Americas,Richter,1970,9.0,1970,9.0,13.2664799609959
1970-0021-COL,1970,21,Natural,Hydrological,Flood,Colombia,COL,South America,Americas,Km2,1970,4.0,1970,4.0,13.2664799609959
1970-0061-COL,1970,61,Natural,Hydrological,Flood,Colombia,COL,South America,Americas,Km2,1970,11.0,1970,11.0,13.2664799609959
1970-0069-COL,1970,69,Natural,Hydrological,Flood,Colombia,COL,South America,Americas,Km2,1970,12.0,1970,12.0,13.2664799609959
1970-0025-CRI,1970,25,Natural,Hydrological,Flood,Costa Rica,CRI,Central America,Americas,Km2,1970,4.0,1970,4.0,13.2664799609959
1970-0066-CRI,1970,66,Natural,Hydrological,Flood,Costa Rica,CRI,Central America,Americas,Km2,1970,12.0,1970,12.0,13.2664799609959
1970-0118-CUB,1970,118,Natural,Meteorological,Storm,Cuba,CUB,Caribbean,Americas,Kph,1970,8.0,1970,8.0,13.2664799609959
1970-0120-DMA,1970,120,Natural,Meteorological,Storm,Dominica,DMA,Caribbean,Americas,Kph,1970,8.0,1970,8.0,13.2664799609959
1970-0067-ECU,1970,67,Natural,Geophysical,Earthquake,Ecuador,ECU,South America,Americas,Richter,1970,12.0,1970,12.0,13.2664799609959
1970-0023-ECU,1970,23,Natural,Hydrological,Flood,Ecuador,ECU,South America,Americas,Km2,1970,4.0,1970,4.0,13.2664799609959
1970-0062-ECU,1970,62,Natural,Hydrological,Flood,Ecuador,ECU,South America,Americas,Km2,1970,11.0,1970,11.0,13.2664799609959
1970-0121-GLP,1970,121,Natural,Meteorological,Storm,Guadeloupe,GLP,Caribbean,Americas,Kph,1970,8.0,1970,8.0,13.2664799609959
1971-0042-CHL,1971,42,Natural,Geophysical,Earthquake,Chile,CHL,South America,Americas,Richter,1971,7.0,1971,7.0,13.8359835495998
1971-0017-BRA,1971,17,Natural,Hydrological,Flood,Brazil,BRA,South America,Americas,Km2,1971,2.0,1971,2.0,13.8359835495998
1971-0027-BRA,1971,27,Natural,Hydrological,Flood,Brazil,BRA,South America,Americas,Km2,1971,4.0,1971,4.0,13.8359835495998
1971-0118-CAN,1971,118,Natural,Meteorological,Storm,Canada,CAN,Northern America,Americas,Kph,1971,3.0,1971,3.0,13.8359835495998
1971-0031-CAN,1971,31,Natural,Hydrological,Landslide,Canada,CAN,Northern America,Americas,,1971,5.0,1971,5.0,13.8359835495998
1971-0039-CHL,1971,39,Natural,Meteorological,Storm,Chile,CHL,South America,Americas,Kph,1971,6.0,1971,6.0,13.8359835495998
1971-0135-COL,1971,135,Natural,Hydrological,Landslide,Colombia,COL,South America,Americas,,1971,12.0,1971,12.0,13.8359835495998
1971-0018-COL,1971,18,Natural,Hydrological,Flood,Colombia,COL,South America,Americas,Km2,1971,3.0,1971,3.0,13.8359835495998
1971-0127-COL,1971,127,Natural,Hydrological,Flood,Colombia,COL,South America,Americas,Km2,1971,6.0,1971,6.0,13.8359835495998
1971-0019-ECU,1971,19,Natural,Hydrological,Landslide,Ecuador,ECU,South America,Americas,,1971,3.0,1971,3.0,13.8359835495998
1971-0040-ECU,1971,40,Natural,Hydrological,Flood,Ecuador,ECU,South America,Americas,Km2,1971,7.0,1971,7.0,13.8359835495998
1971-0041-GUY,1971,41,Natural,Hydrological,Flood,Guyana,GUY,South America,Americas,Km2,1971,7.0,1971,7.0,13.8359835495998
